Wins,Name,Code,School
4,Asmi Jan & Estrelita,Kentucky Asmi Jan & Estrelita,University of Kentucky
3,Garcia & Foudali,Indiana Garcia & Foudali,Indiana University
3,Fleischman & Thomas,Indiana Fleischman & Thomas,Indiana University
2,Hansen & Handley,West Georgia Handley & Hansen,West Georgia
