Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Daniel,Gallagher,Emory GS,Emory,GA,118.90,59.50,178.30,4.33,179.57,78.31,"W29.5,W29.8,W29.6,W29.7,W29.8,W29.9"
2,Joanna,Gusis,Michigan State GL,Michigan State,MI,118.10,59.10,177.10,3.67,178.27,55.83,"W29.6,W29.8,W29.6,L29.5,W29.2,W29.4"
3,Ike,Song,Emory GS,Emory,GA,117.90,59.00,176.80,4.33,177.40,18.01,"W29.3,W29.6,W29.4,W29.3,W29.6,W29.6"
4,Connelly,Cowan,Georgetown AC,Georgetown,DC,117.90,58.90,176.90,3.00,177.52,97.86,"L29.2,L29.8,W29.5,W29.7,W29.4,W29.3"
5,Rose,Larson,Kansas LS,Kansas,KS,117.80,58.80,176.80,3.67,176.96,25.56,"W29.3,W29.7,W29.3,W29.4,W29.4,W29.7"
6,Jiyoon,Park,Michigan BP,Michigan,MI,117.70,58.90,176.70,4.00,177.25,31.85,"W29.3,W29.2,W29.5,W29.8,W29.4,L29.5"
7,Luna,Schultz,Kansas LS,Kansas,KS,117.70,58.90,176.60,3.67,176.75,59.95,"W29.4,W29.3,W29.5,W29.3,W29.5,W29.6"
8,Stephen,Lewis,Michigan State GL,Michigan State,MI,117.70,58.90,176.40,3.67,177.30,71.58,"W29.5,W29.4,W29.5,L29.6,W29.3,W29.1"
9,Veronica,Rubin,Northwestern LR,Northwestern,IL,117.70,58.90,176.30,3.83,176.89,45.84,"W29.4,W29.5,W28.9,W29.6,L29.7,W29.2"
10,Eleanor,Barrett,Michigan BP,Michigan,MI,117.70,58.80,176.40,4.00,176.49,14.13,"W29.4,W29.3,W29.6,W29.6,W29.1,L29.4"
11,Vikram,Saigal,NYU MS,NYU,NY,117.70,58.70,176.50,3.33,176.47,37.13,"W29.3,W30,W28.8,L29.2,L29.4,W29.8"
12,Brooklynn,Hato,Kansas HP,Kansas,KS,117.60,58.80,176.80,3.67,176.69,34.92,"W29.2,W29.4,W29.4,W29.3,W29.5,W30"
13,Curtis,Ortega,CSU Long Beach OM,CSU Long Beach,CA,117.60,58.80,176.52,3.60,176.26,7.27,"W29.6,W29.5,L29.3,L29.4,W29.3"
14,Aj,Persinger,Kansas HP,Kansas,KS,117.60,58.80,176.50,3.67,176.32,48.67,"W29,W29.3,W29.5,W29.2,W29.6,W29.9"
15,Ariel,Gabay,Kentucky GS,Kentucky,KY,117.50,58.80,176.20,3.50,176.73,77.37,"W29.5,W29.2,W29,W29.7,L29.4,W29.4"
16,Spencer,Anderson McElligott,Iowa AP,Iowa,IA,117.50,58.80,176.20,3.50,176.60,3.23,"W29.3,W29.4,W29.1,W29.6,W29.4,W29.4"
17,Zach,Willingham,Kansas OW,Kansas,KS,117.40,58.70,176.30,3.50,176.57,55.22,"W29.3,L29.2,W29.3,W29.4,W29.4,L29.7"
18,Antonio,Souchet,Northwestern PS,Northwestern,IL,117.40,58.70,176.10,3.67,176.44,25.39,"W29.3,W29.2,L29.4,W29.4,L29.5,W29.3"
19,Jack,Young,Emory RY,Emory,GA,117.40,58.70,176.10,3.33,176.42,29.37,"W29.2,W29.4,W29,L29.7,W29.3,L29.5"
20,Kevin,Lai,Stanford LL,Stanford,CA,117.40,58.70,176.00,2.83,176.32,4.08,"W29.5,W29.2,L29.5,W29.2,L29,W29.6"
21,Agastya,Sridharan,Harvard DS,Harvard,MA,117.40,58.70,175.90,4.00,175.46,30.16,"W28.9,W29.4,W29.5,W29.3,L29.2,L29.6"
22,Nora,Cai,Dartmouth CG,Dartmouth,NH,117.40,58.60,176.10,3.00,176.98,97.63,"W29.2,L29.2,L29,W29.7,W29.4,W29.6"
23,Nargis,Suleman,Kansas SS,Kansas,KS,117.30,58.80,174.90,2.83,175.24,14.33,"L28,L29.4,W29.4,W29,W29.5,W29.6"
24,Serena,Rupp,Emory RY,Emory,GA,117.30,58.70,176.10,3.33,176.30,67.43,"W29.1,W29.5,W29.1,L29.5,W29.2,L29.7"
25,Regan,Slish,Kentucky GS,Kentucky,KY,117.30,58.60,176.10,3.50,176.69,24.09,"W29.4,W29.3,W29.3,W29.6,L29.3,W29.2"
26,Conner,Shih,Michigan SS,Michigan,MI,117.30,58.60,175.10,3.33,175.26,42.42,"W29.3,W28.4,L29.3,W29.4,W29.3,W29.4"
