Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
190,Sai Vishnu Sri Hiranmayi,Midithuri,Indiana FM,Indiana,IN,113.9,57,171,2.67,170.39,42.57
191,Andrew,Dudewicz,Michigan DS,Michigan,MI,113.87,57,171,2.4,170.06,60.13
192,James,Granger,Missouri State WG,Missouri State,MO,113.8,57.1,170.5,2.33,170.4,41.59
193,Nathan,Weimar,Iowa PW,Iowa,IA,113.7,56.8,171.2,3,171.11,90.17
194,Luke,Vu,Kansas VM,Kansas,KS,113.6,56.8,170.4,2.8,170.07,38.34
195,arielle,gearring,Michigan State GZ,Michigan State,MI,113.4,56.7,170.5,2.33,171.4,62.57
196,Kyler,Logan,Indiana LV,Indiana,IN,113.33,56.6,170.04,2,170.12,3.99
197,Miaomiao,Zi,Michigan State GZ,Michigan State,MI,113.3,56.6,170.1,2.33,170.9,98.92
198,Harshini,Manian,Purdue CM,Purdue,IN,113.2,56.5,169.8,2.83,169.51,25.77
199,Sofia,Vidali,Indiana LV,Indiana,IN,113.07,56.4,169.56,2,169.52,31.79
200,Carina,Crisan,Purdue CM,Purdue,IN,112.9,56.5,169.8,2.83,169.56,7.21
201,Jared,Shirts,Emory RS,Emory,GA,116.13,58,174.24,3.67,145.34,92.36
202,Serena,Rupp,Emory RS,Emory,GA,116,58.2,174.12,3.67,145.26,87.16
