Wins,Name,Code,School
6,T. Louis & Choudhury,Binghamton TC,Binghamton
5,Picallo & Marin,Binghamton MP,Binghamton
5,Cohn & Santora,Binghamton SC,Binghamton
5,Fuchs & Davis,George Mason FD,George Mason
4,Dover & Wright,George Mason WD,George Mason
4,Balda & Rinehart,James Madison BR,James Madison
3,Hamilton & Short,Liberty HS,Liberty
3,Connor & Rea,Navy RC,Navy
3,Dubey & Wang,Houston WD,Houston
2,Cheek & Hua,Boston College CH,Boston College
2,Oehler & Mishra,James Madison MO,James Madison
2,Chaturvedi & Kpade,New School CK,New School
2,Abad & Regassa,Houston AR,Houston
1,Lea & Lim,Cornell LL,Cornell
1,Ku & Toussaint,NYU TK,NYU
