Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
67,Aden,Smith,Arizona State SS,Arizona State,AZ,114.80,57.40,172.60,3.33,172.02,29.87,"W28.5,W29.8,L28.8,W28.9,L28,L28.6"
68,Isa,Harrison,Macalester HW,Macalester,MN,114.80,57.40,172.40,2.83,171.82,50.66,"W28.7,L29,W28.6,W28.8,L28.6,W28.7"
69,Israel,Dominguez,Cal State Fullerton DC,Cal State Fullerton,CA,114.80,57.20,172.32,2.83,172.26,28.93,"L28.4,L28.6,W28.9,L28.6,W29.1"
70,Tinghan,Wang,Emory WY,Emory,GA,114.80,0.00,172.20,2.50,85.20,5.77,"W28.7,28.6,28.8"
71,Abigail,Fordyce,Kansas FV,Kansas,KS,114.70,57.40,172.10,2.67,172.42,93.78,"L28.5,W28.9,L28.6,L28.7,W28.7,W28.7"
72,Abhinav,Saxena,Arizona State SS,Arizona State,AZ,114.70,57.30,172.70,3.33,171.67,52.37,"W28.7,W29.7,L28.9,W28.6,L28.3,L28.5"
73,Taite,Kirkpatrick,Dartmouth JK,Dartmouth,NH,114.70,57.30,171.90,2.00,171.39,11.87,"L28.9,L28.6,L28.5,L28.2,L29,L28.7"
74,Samantha,Catapang,Cal State Fullerton DC,Cal State Fullerton,CA,114.67,57.40,172.20,2.83,171.71,95.02,"L28.5,L28.5,W29,L28.7,W28.8"
75,Rhys,Florence-Smith,Dartmouth LF,Dartmouth,NH,114.67,57.40,171.48,2.33,171.52,80.21,"L28.7,L28.6,L28.9,L28.7,L28"
76,Ryan,Peters,Wake Forest MP,Wake Forest,NC,114.60,0.00,171.15,2.33,143.34,94.41,"L28.9,L28.8,L28.5,W27.9"
77,Saimaa,Widi,Wyoming WW,Wyoming,WY,114.50,57.40,171.60,3.83,172.25,64.26,"L28.1,W28.6,W28.8,W29,L28.3,L28.8"
78,Gary,Cowdrey-Mota,Missouri State CN,Missouri State,MO,114.50,57.30,171.60,3.00,170.82,44.59,"W28.5,L28.7,28.4,L28.7,L28.6,L28.7"
79,Zander,Fish,Indiana TF,Indiana,IN,114.50,57.30,171.60,2.50,171.98,32.21,"L28.3,L28.8,L28.5,L28.8,W28.4,W28.8"
80,Ademoreoluwa,Aderibigbe,Wake Forest AB,Wake Forest,NC,114.50,57.20,171.80,3.67,172.18,19.01,"W28.3,W28.5,L29,W28.5,W28.7,L28.8"
81,Elijah,Cruz,Texas AandM University - College Station BC,Texas AandM University - College Station,TX,114.50,57.20,170.80,2.17,170.09,80.19,"L28.6,L28.7,W28.6,28.6,L28.7,L27.6"
82,Alexis,Garvey,Michigan GJ,Michigan,MI,114.40,57.20,171.70,2.33,171.02,35.22,"L28.6,W28.7,L28.5,L28.4,L28.6,W28.9"
83,Mary,Mbye,Wake Forest MP,Wake Forest,NC,114.40,0.00,171.15,2.33,143.57,6.25,"L28.8,L28.9,L28.4,W28"
84,Arlin,Birkby,Texas AandM University - College Station BC,Texas AandM University - College Station,TX,114.30,57.20,170.00,2.17,168.64,83.22,"L28.4,L28.6,W28.7,28.7,L28.6,L27"
85,Aryan,Verma,Kansas FV,Kansas,KS,114.30,57.10,171.40,2.67,171.55,16.37,"L28.4,W28.7,L28.7,L28.5,W28.6,W28.5"
86,Caitlin,Sand,Kansas State SA,Kansas State,KS,114.27,57.20,171.60,2.17,142.41,60.23,"W29,L28.4,L28.3,L28.6,L28.7"
87,Levi,Li,Dartmouth LF,Dartmouth,NH,114.27,57.20,170.88,2.33,170.53,3.31,"L28.6,L28.5,L28.8,L28.6,L27.9"
88,Ida,Chapman,Georgia CL,Georgia,GA,114.20,57.10,169.20,2.50,169.42,37.05,"L28.3,L28.7,W29,L28.8,W26,L28.4"
89,Lillian,Ardis,Kansas State SA,Kansas State,KS,114.13,57.00,171.36,2.17,142.44,55.39,"W28.8,L28.5,L28.5,L28.4,L28.6"
90,Griffin,Satterfield,Navy LS,Navy,MD,114.10,57.10,171.30,2.67,170.66,69.28,"W28.4,W28.6,L28.4,L28.6,L28.8,L28.5"
91,Vaughn,Kathner,Minnesota HK,Minnesota,MN,114.10,57.00,171.30,2.17,170.73,46.24,"L28.6,W28.8,L28.4,L28.5,L28.5,W28.5"
92,Caroline,Lackey,Georgia CL,Georgia,GA,114.00,57.10,170.90,2.50,168.86,29.54,"L28.2,L28.6,W28.7,L28.6,W28.5,L28.3"
93,Jonn,Rushing,Kentucky RS,Kentucky,KY,113.90,57.00,170.90,2.67,169.57,10.67,"L28.6,L28.2,W28.2,W28.7,L28.8,L28.4"
94,Sophie,Johnson,Dartmouth JK,Dartmouth,NH,113.90,56.90,171.00,2.00,170.08,57.33,"L28.7,L28.3,L28.3,L28,L29.1,L28.6"
95,Maia,Truemper,Indiana TF,Indiana,IN,113.80,56.80,170.70,2.50,170.91,8.97,"L28.4,L28.6,L28.4,L28.4,W28.3,W28.6"
96,Levi,DeAngelis,Missouri State LD,Missouri State,MO,113.30,56.90,170.00,2.67,170.29,43.53,"L28.4,L27.9,L28.9,L28.5,L27.8,L28.5"
97,Thalia,Sanchez,Texas AandM University - College Station SL,Texas AandM University - College Station,TX,113.20,56.80,169.80,2.50,169.53,10.54,"L28,L28.4,L28.6,L28.5,L28"
98,Kacy,Langford,Texas AandM University - College Station SL,Texas AandM University - College Station,TX,113.07,56.60,169.44,2.50,169.02,49.85,"L27.9,L28.3,L28.5,L28.4,L28.1"
99,Sean,Lay,Missouri State LD,Missouri State,MO,112.90,56.70,169.00,2.67,168.68,46.57,"L28.3,L27.5,L28.5,L28.6,L27.7,L28.4"
100,Coralynn,Yang,Emory WY,Emory,GA,108.00,0.00,115.00,2.50,14.17,88.53,"W29.5,27,1"
