Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Austin,Lovette,Wake Forest Austin Lovette & Courtneigh Peebles,Wake Forest,NC,116.93,58.8,175.32,3.2,175.71,70.15,"W28.8,W29.6,W29.4,L28.8,W29.5"
2,Courtneigh,Peebles,Wake Forest Austin Lovette & Courtneigh Peebles,Wake Forest,NC,116.53,58.6,175.32,3.2,175.15,56.96,"W28.7,W30,W29.3,L28.7,W29.4"
3,Mario,Arciniega,Southwestern Mario Arciniega & Jacián Arreola,Southwestern,CA,116.1,58.2,173.7,2.67,173.84,98.08,"W28.3,W29.1,L28.7,W29.2,W29.3,W29.1"
4,Jacián,Arreola,Southwestern Mario Arciniega & Jacián Arreola,Southwestern,CA,116,57.9,173.9,2.67,173.86,86.42,"W28.5,W28.9,L28.8,W29.3,W29.4,W29"
5,Aubrey,Thomas,Indiana Aubrey Thomas & Alyson Fleischman,Indiana,IN,115.7,57.9,173.6,3.33,174.23,87.58,"W28.7,W29,W29.2,W29.1,W28.9,W28.7"
6,Alyson,Fleischman,Indiana Aubrey Thomas & Alyson Fleischman,Indiana,IN,115.7,57.8,173.8,3.33,175.02,74.76,"W28.8,W29.1,W29.3,W28.8,W29,W28.8"
7,Adam,Foudali,Indiana Rowlin Garcia & Adam Foudali,Indiana,IN,115.3,57.3,172.8,3,173.08,95.53,"W29.5,L28,W28.5,W28.5,W29.5,W28.8"
8,Yolanda,Del Pino,Miami Yolanda Del Pino & Japheth Oyedepo,Miami,FL,115,57.6,172.4,3.17,172.31,65.89,"L28.4,L29,W28.4,L28.6,W29,W29"
9,Japheth,Oyedepo,Miami Yolanda Del Pino & Japheth Oyedepo,Miami,FL,115,57.6,172.4,3.17,172.05,96.03,"L28.3,L28.8,W28.5,L28.8,W29.1,W28.9"
10,Jasmine,Richardson,West Georgia Kenneth Mitchell & Jasmine Richardson,West Georgia,GA,114.9,57.5,172,3.2,172,74.42,"W28.8,W28.6,L28.7,L28.3,W28.8,W28.8"
11,Edward,Handley,West Georgia Edward Handley & Kendall Godsey,West Georgia,GA,114.8,57.4,172.1,4,172.71,37.15,"W29.3,W28.5,W28.9,L28,L28.5,W28.9"
12,Breyden,Collins,Navy Breyden Collins & Kaylie Ratcliffe,Navy,MD,114.8,0,171.45,3.6,172.07,65.19,"L27.7,L29.2,L28.8,L28.6"
13,Grant,Kinghorn,Wake Forest Grant Kinghorn & William Porter,Wake Forest,NC,114.7,57.4,172,2.83,172.42,87.93,"L29.1,W28.2,W28.8,L28.6,W28.5,W28.8"
14,Eduardo,Plascencia,Southwestern Eduardo Plascencia & Marko Soto,Southwestern,CA,114.53,57,171.48,4,171.12,90.72,"W28.5,L29,L28.9,L28,L28.5"
