Wins,Name,Code,School
6,Floyd & Kierzyk,Indiana FK,Indiana
6,Blank & Castaneda,Miami BC,Miami
4,Vidali & Brader,Indiana VB,Indiana
4,Choi & Kim,Navy CK,Navy
3,Goswami & Huang,Minnesota GH,Minnesota
3,Chen & Rona,Miami CR,Miami
2,Aurora & Della Pietra,NYU AD,NYU
1,Agarwal & Basu-Mallick,Navy AB,Navy
1,Brayden McFerren,Southern Nazarene BM,Southern Nazarene
0,Blose & Stewart,Southern Nazarene BS,Southern Nazarene
