Wins,Name,Code,School
5,Reyes & Shananier,George Mason RS,George Mason
5,Hackett & Hammond,Samford HH,Samford
4,McNabb & Wachsmuth,Boston College MW,Boston College
4,Wilson-Axpe & Mott,Kansas WM,Kansas
4,Laham & Culhane,Wayne State LC,Wayne State
3,King & Treulich,Binghamton TK,Binghamton
3,Benson & Basu-Mallick,Minnesota/Navy BB,Minnesota
3,Hornsby & Tsao,Georgia TH,Georgia
3,Henderson & Parkin,Weber State PH,Weber State
1,Adams & Salonga,Macalester AS,Macalester
1,Walker & Ahmed,Purdue WA,Purdue
0,Boncher & Srivathsan,Michigan BS,Michigan
