Wins,Name,Code,School
6,Ortega & Flores,Jay-Z Flores,CSU Long Beach
4,Freeman & Khan,Southern California FK,Southern California
4,Lopez & Jack,Southern California LJ,Southern California
3,Sandoval & Gonzalez,CSU - Northridge SG,CSU - Northridge
2,Lin & Soderquist,Arizona State LS,Arizona State
2,Ryals & Perez,Bryan Perez Rivas,Cal State Fullerton
2,Aguilar & Ayala,CSU - Northridge AA,CSU - Northridge
1,Linares & Talavera,CSU Hybrid LT,CSU Long Beach
