Wins,Name,Code,School
6,Hines & Park,Kansas HP,Kansas
6,William Soper,Kansas WS,Kansas
4,Hudson & Laibe,Baylor HL,Baylor
4,Johnson & Sun,Minnesota JS,Minnesota
3,Crenshaw & Thompson,Bard CT,Bard
2,Brown & Conway,James Madison BC,James Madison
2,Dulas & Posey,Liberty DP,Liberty
2,Toro & Karsh,Oakton Community/Mac TK,Oakton Community
1,Hamilton & Smith,Liberty HS,Liberty
