Wins,Name,Code,School
6,Abad & Sheffield,Nine Abad,Houston
5,Fernandez & Doratt,Houston FD,Houston
5,Kidd & Nguyen,Houston KN,Houston
4,Liu & Toure,Emory LT,Emory
4,Sosa & Viera,Emory SV,Emory
4,Berry & Horne,Liberty BH,Liberty
4,Dellinger & Hamilton,Liberty DH,Liberty
4,Scully & Zi,Michigan State SZ,Michigan State
3,King & Sexton,Boston College KS,Boston College
3,Wachsmuth & McNabb,Boston College WM,Boston College
3,Gunendran & Jotsinghani,Cornell GJ,Cornell
3,Montgomery & Scott,Samford MS,Samford
3,Pham & Harker,Kansas PH,Kansas
3,Knopp & Medina,Wyoming KM,Wyoming
2,Vantikommu & Alshuhayeb,George Mason VA,George Mason
2,Short & Stafford,Liberty SS,Liberty
2,Roy & Rehman,Missouri State/Houston RR,Missouri State
2,Ramirez & Schaefer,Monmouth RS,Monmouth
2,Laham & Teasdle,Wayne State LT,Wayne State
1,Basu-Mallick & Kim,Navy BK,Navy
1,McMahon & Murray,Pennsylvania State MM,Pennsylvania State
0,Fisher & Peral,Pennsylvania State FP,Pennsylvania State
