Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
189,Aidan,Foust,Kansas FS,Kansas,KS,114.10,57.00,171.40,2.50,170.48,46.56,"L29.1,L28.7,W28.6,L28.4,L28.2,L28.4"
190,Asa,Bodenhorn,Missouri State AB,Missouri State,MO,114.10,57.00,171.20,2.50,171.27,64.32,"L28.8,L28.3,L28.6,L28.5,L28.5,L28.5"
191,Zackhery,Facey,Harvard FK,Harvard,MA,114.10,57.00,170.70,2.33,168.81,64.24,"L28.5,L28.6,L28,W28.6,L28.5,L28.5"
192,Rex,Kidd,Houston KS,Houston,TX,114.10,57.00,170.50,2.83,171.11,26.32,"L28.4,L28.5,W28.7,L27.7,W28.5,L28.7"
193,Maddie,Doyle,Kansas LD,Kansas,KS,114.00,57.00,171.10,3.00,171.21,44.16,"W28.6,L28.2,L28.9,L28.4,L28.3,L28.7"
194,Kathleen,Silkes,Indiana FS,Indiana,IN,114.00,57.00,170.90,2.00,169.44,43.45,"L28.8,L28.1,L28.7,L28.3,W28.6,W28.4"
195,Jeremiah,Hawley,Wyoming CH,Wyoming,WY,114.00,56.90,171.10,2.00,170.42,38.66,"L28.7,L28.4,L28.3,W28.4,L28.5,W28.8"
196,Miaomiao,Zi,Michigan State AZ,Michigan State,MI,114.00,56.80,170.88,2.80,170.46,55.46,"L28.1,L28.8,L28.7,W28.4,L28.4"
197,Ava,Levin,Kansas LD,Kansas,KS,113.90,57.00,171.30,3.00,171.68,68.11,"W29.3,L28.1,L28.7,L28.2,L28.4,L28.6"
198,Kimberly,Nguyen,Wake Forest SN,Wake Forest,NC,113.90,57.00,170.70,2.83,169.09,45.35,"L28.5,W28,L28.8,W28.6,L28.5,L28.3"
199,Aaron,Fernando,Indiana FJ,Indiana,IN,113.90,56.90,170.90,2.17,168.93,27.37,"L28.4,L28.8,L28.4,L28.2,W28.6,W28.5"
200,Arwa,Abdelhakiem,Missouri State AB,Missouri State,MO,113.90,56.90,170.60,2.50,170.20,5.34,"L28.7,L28,L28.5,L28.6,L28.4,L28.4"
201,Armen,Rea,Navy CR,Navy,MD,113.70,56.80,170.50,2.83,170.24,78.26,"L28.2,W28.5,W28.3,L29,L28.7,W27.8"
202,Kimtee,Kundu,Harvard FK,Harvard,MA,113.70,56.80,165.50,2.33,166.26,66.11,"L28.4,L28.3,L23,W28.8,L28.4,L28.6"
203,Grace,Scott,Samford HS,Samford,AL,113.60,56.70,170.20,2.17,170.26,8.53,"L27.8,L28.6,L28.8,L28.1,L28.1,L28.8"
204,Mary,Hammond,Samford HS,Samford,AL,113.50,56.80,169.90,2.17,169.89,64.66,"L27.7,L28.7,L28.7,L28,L28.2,L28.6"
205,Vikram,Valame,Georgetown VP,Georgetown,DC,115.30,57.60,173.20,3.00,173.32,44.26,"W28.7,L28.9,W28.6,L29.1,28.6,W29.3"
206,Jessica,Cline,Wake Forest CS,Wake Forest,NC,115.20,57.60,172.68,2.17,144.14,38.78,"L28.9,L28.6,W28.9,W28.8,L28.7"
207,Tarang,Mishra,James Madison MO,James Madison,VA,115.07,57.60,172.32,3.17,143.88,42.61,"W28.7,L28.8,L28.8,W28.8,L28.5"
208,Sebastian,Rao,Dartmouth KR,Dartmouth,NH,114.93,57.40,172.68,2.60,144.46,25.72,"L28.6,W28.8,L29.1,W28.7,W28.7"
209,Anna,Oehler,James Madison MO,James Madison,VA,114.93,57.40,172.44,3.17,143.62,49.21,"W28.5,L28.6,L28.9,W28.7,L29"
210,Preston,Shaw,Wake Forest CS,Wake Forest,NC,114.93,57.20,172.44,2.17,143.71,43.07,"L29,L28.5,W29,W28.6,L28.6"
211,Scott,Pawley,Georgetown VP,Georgetown,DC,114.80,57.40,172.32,3.00,143.60,64.05,"W28.6,L28.7,W28.3,L29.2,W28.8"
212,Harlan,Katyal,Dartmouth KR,Dartmouth,NH,114.67,57.20,172.08,2.60,143.63,55.33,"L28.5,W28.6,L28.9,W28.6,W28.8"
