Aff,Neg,Judge,Win
Boston College King & Sexton,Boston College McNabb & Wachsmuth,,Boston College King & Sexton advances
NYU Ciacciarelli & Teng,,,
Boston College Conrad & Randolph,,,
NYU Theiding & Toussaint,,,
